domain_age_risk,certificate_age_risk,dnssec_enabled,http_reachable,redirect_count,has_valid_tls,password_field_count,otp_field_count,credit_card_field_count,cross_domain_form_actions,insecure_form_actions,get_login_forms,hidden_iframe_count,meta_refresh_present,popup_count,download_count,permission_request_count,javascript_error_count,obfuscated_script_count,reputation_detection_count,safe_browsing_flagged,label
0.1283560036359577,0.27179504771722524,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1443815506461617,0.13401014241214212,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.03697954432227146,0.27295237518322485,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.14779513109741396,0.22523046665749488,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.005291899347569795,0.16960997248056744,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.044786928639389656,0.16896703527059995,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1721852496420568,0.26286444107534346,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.02051426389615771,0.14163724932008603,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.18914969067311918,0.08912659258728792,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0364318065923995,0.2100166287369625,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1766362314289225,0.11453010017727618,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.24505368629812632,0.2601248651205967,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.24155928124103335,0.11019096624382643,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0031752503231177176,0.26184973784231375,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.13273817214785216,0.29273640638914605,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21270933741759565,0.22633951793569212,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.23216242883341395,0.10407627400371015,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.2360189883657038,0.11153166801947141,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2211302132114759,0.12377709022587453,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.0966157079091497,0.08204515008241621,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1231050850391377,0.12078719419883394,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.10850881115497568,0.13272551356624615,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
